04/30/2018,CGM,354844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/31/2018,CGM,354227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2018,CGM,321255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2018,CGM,231383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/31/2018,CGM,144931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/01/2018,CGM,6781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/02/2018,CGM,5046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/03/2018,CGM,3743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/04/2018,CGM,5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2018,CGM,5965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2018,CGM,3907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/07/2018,CGM,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/08/2018,CGM,2852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/09/2018,CGM,4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2018,CGM,6020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2018,CGM,5491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/12/2018,CGM,4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/13/2018,CGM,6037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/14/2018,CGM,5933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/15/2018,CGM,5424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/16/2018,CGM,6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/17/2018,CGM,5031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/18/2018,CGM,6887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/19/2018,CGM,8470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/20/2018,CGM,8128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/21/2018,CGM,6154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/22/2018,CGM,5461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/23/2018,CGM,6814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/24/2018,CGM,8233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/25/2018,CGM,8038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/26/2018,CGM,9243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/27/2018,CGM,9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/28/2018,CGM,10823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/29/2018,CGM,9094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2018,CGM,8467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/2018,CGM,8492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/02/2018,CGM,9145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2018,CGM,9225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2018,CGM,9860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/05/2018,CGM,10133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/06/2018,CGM,9820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018,CGM,8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/08/2018,CGM,12568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2018,CGM,12184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2018,CGM,11445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/11/2018,CGM,12607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2018,CGM,11911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2018,CGM,12590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
