09/13/2018,GGS ,6497
09/14/2018,GGS ,5858
09/15/2018,GGS ,6628
09/16/2018,GGS ,6239
09/17/2018,GGS ,2011
09/18/2018,GGS ,4049
09/19/2018,GGS ,6062
09/20/2018,GGS ,7047
09/21/2018,GGS ,4591
09/22/2018,GGS ,4464
09/23/2018,GGS ,5143
09/24/2018,GGS ,6853
09/25/2018,GGS ,5733
09/26/2018,GGS ,5626
09/27/2018,GGS ,5555
09/28/2018,GGS ,6770
09/29/2018,GGS ,5548
09/30/2018,GGS ,5553
10/01/2018,GGS ,3949
10/02/2018,GGS ,4744
10/03/2018,GGS ,7127
10/04/2018,GGS ,6653
10/05/2018,GGS ,6719
10/06/2018,GGS ,5791
10/07/2018,GGS ,6558
10/08/2018,GGS ,5880
10/09/2018,GGS ,6041
10/10/2018,GGS ,6488
10/11/2018,GGS ,6437
10/12/2018,GGS ,6171
10/13/2018,GGS ,6777
10/14/2018,GGS ,8368
10/15/2018,GGS ,6086
10/16/2018,GGS ,1463
10/17/2018,GGS ,4631
10/18/2018,GGS ,4077
10/19/2018,GGS ,5011
10/20/2018,GGS ,2395
10/21/2018,GGS ,6889
10/22/2018,GGS ,6581
10/23/2018,GGS ,5201
10/24/2018,GGS ,6586
10/25/2018,GGS ,6873
10/26/2018,GGS ,6146
10/27/2018,GGS ,7354
10/28/2018,GGS ,7272
10/29/2018,GGS ,7272
10/30/2018,GGS ,7272
10/31/2018,GGS ,5441
11/01/2018,GGS ,6061
11/02/2018,GGS ,6025
11/03/2018,GGS ,6036
11/04/2018,GGS ,5980
11/05/2018,GGS ,6006
11/06/2018,GGS ,4859
11/07/2018,GGS ,4122
11/08/2018,GGS ,2351
11/09/2018,GGS ,3798
11/10/2018,GGS ,3981
11/11/2018,GGS ,4383
11/12/2018,GGS ,5378
11/13/2018,GGS ,5882
11/14/2018,GGS ,5022
11/15/2018,GGS ,5651
11/16/2018,GGS ,5700
11/17/2018,GGS ,6342
11/18/2018,GGS ,7048
11/19/2018,GGS ,4947
11/20/2018,GGS ,6233
11/21/2018,GGS ,5224
11/22/2018,GGS ,5833
11/23/2018,GGS ,5737
11/24/2018,GGS ,6521
11/25/2018,GGS ,6386
11/26/2018,GGS ,6769
11/27/2018,GGS ,6929
11/28/2018,GGS ,6354
11/29/2018,GGS ,6531
11/30/2018,GGS ,7321
12/01/2018,GGS ,6528
12/02/2018,GGS ,6763
12/03/2018,GGS ,7198
12/04/2018,GGS ,7354
12/05/2018,GGS ,6890
12/06/2018,GGS ,6975
12/07/2018,GGS ,6983
12/08/2018,GGS ,6015
12/09/2018,GGS ,4437
12/10/2018,GGS ,5530
12/11/2018,GGS ,4975
12/12/2018,GGS ,6824
12/13/2018,GGS ,6848
12/14/2018,GGS ,6101
12/15/2018,GGS ,5840
12/16/2018,GGS ,4999
12/17/2018,GGS ,6089
12/18/2018,GGS ,5409
12/19/2018,GGS ,5616
12/20/2018,GGS ,6310
12/21/2018,GGS ,6516
12/22/2018,GGS ,6203
12/23/2018,GGS ,7001
12/24/2018,GGS ,6715
12/25/2018,GGS ,7251
12/26/2018,GGS ,7382
12/27/2018,GGS ,7570
12/28/2018,GGS ,7244
12/29/2018,GGS ,7244
12/30/2018,GGS ,6715
12/31/2018,GGS ,7153
01/01/2019,GGS ,0
01/02/2019,GGS ,0
01/03/2019,GGS ,0
01/04/2019,GGS ,0
01/05/2019,GGS ,0
01/06/2019,GGS ,0
01/07/2019,GGS ,0
01/08/2019,GGS ,0
01/09/2019,GGS ,0
01/10/2019,GGS ,0
01/11/2019,GGS ,0
01/12/2019,GGS ,0
01/13/2019,GGS ,0
01/14/2019,GGS ,0
01/15/2019,GGS ,0
01/16/2019,GGS ,0
01/17/2019,GGS ,0
01/18/2019,GGS ,0
01/19/2019,GGS ,0
01/20/2019,GGS ,0
01/21/2019,GGS ,0
01/22/2019,GGS ,0
01/23/2019,GGS ,0
01/24/2019,GGS ,0
01/25/2019,GGS ,0
01/26/2019,GGS ,0
01/27/2019,GGS ,0
01/28/2019,GGS ,0
01/29/2019,GGS ,0
01/30/2019,GGS ,0
01/31/2019,GGS ,179508
02/01/2019,GGS ,0
02/02/2019,GGS ,0
